compute-4-0-18.foreman.hpc.ntnu.no
K=8, L=1, SE_file='./data/SE(Bessaker)_with_wind.txt', batch_size=32, d=8, decay_epoch=10, learning_rate=0.001, log_file='./data/log', max_epoch=1, model_file='./GMAN_Bessaker_w_wind.pkl', num_his=12, num_pred=12, patience=10, test_ratio=0.2, time_slot=5, traffic_file='./data/Bessaker.h5', train_ratio=0.7, val_ratio=0.1
loading data...
trainX: torch.Size([40709, 12, 27])		 trainY: torch.Size([40709, 12, 27])
valX:   torch.Size([5796, 12, 27])		valY:   torch.Size([5796, 12, 27])
testX:   torch.Size([11615, 12, 27])		testY:   torch.Size([11615, 12, 27])
mean:   7.6509		std:   38.5244
data loaded!
compiling model...
trainable parameters: 209,923
Training batch: 490 in epoch:0, training batch loss:185.2381
Training batch: 495 in epoch:0, training batch loss:224.4478
Training batch: 500 in epoch:0, training batch loss:213.2293
Training batch: 505 in epoch:0, training batch loss:169.4531
Training batch: 510 in epoch:0, training batch loss:293.2572
Training batch: 515 in epoch:0, training batch loss:86.4137
Training batch: 520 in epoch:0, training batch loss:267.4268
Training batch: 525 in epoch:0, training batch loss:126.0893
Training batch: 530 in epoch:0, training batch loss:241.5711
Training batch: 535 in epoch:0, training batch loss:220.4272
Training batch: 540 in epoch:0, training batch loss:190.5770
Training batch: 545 in epoch:0, training batch loss:182.8091
Training batch: 550 in epoch:0, training batch loss:272.7952
Training batch: 555 in epoch:0, training batch loss:203.4769
Training batch: 560 in epoch:0, training batch loss:231.0202
Training batch: 565 in epoch:0, training batch loss:188.9252
Training batch: 570 in epoch:0, training batch loss:243.0079
Training batch: 575 in epoch:0, training batch loss:206.3995
Training batch: 580 in epoch:0, training batch loss:144.3623
Training batch: 585 in epoch:0, training batch loss:212.3248
Training batch: 590 in epoch:0, training batch loss:102.5392
Training batch: 595 in epoch:0, training batch loss:159.4632
Training batch: 600 in epoch:0, training batch loss:186.8066
Training batch: 605 in epoch:0, training batch loss:127.9941
Training batch: 610 in epoch:0, training batch loss:265.8839
Training batch: 615 in epoch:0, training batch loss:254.6657
Training batch: 620 in epoch:0, training batch loss:185.3868
Training batch: 625 in epoch:0, training batch loss:144.9827
Training batch: 630 in epoch:0, training batch loss:114.7908
Training batch: 635 in epoch:0, training batch loss:187.3442
Training batch: 640 in epoch:0, training batch loss:296.3589
Training batch: 645 in epoch:0, training batch loss:184.0069
Training batch: 650 in epoch:0, training batch loss:161.9758
Training batch: 655 in epoch:0, training batch loss:309.9678
Training batch: 660 in epoch:0, training batch loss:166.8289
Training batch: 665 in epoch:0, training batch loss:111.3272
Training batch: 670 in epoch:0, training batch loss:235.9665
Training batch: 675 in epoch:0, training batch loss:223.1700
Training batch: 680 in epoch:0, training batch loss:259.2819
Training batch: 685 in epoch:0, training batch loss:240.9441
Training batch: 690 in epoch:0, training batch loss:213.3718
Training batch: 695 in epoch:0, training batch loss:219.1425
Training batch: 700 in epoch:0, training batch loss:145.8074
Training batch: 705 in epoch:0, training batch loss:126.1486
Training batch: 710 in epoch:0, training batch loss:207.8438
Training batch: 715 in epoch:0, training batch loss:113.8834
Training batch: 720 in epoch:0, training batch loss:153.5023
Training batch: 725 in epoch:0, training batch loss:158.8911
Training batch: 730 in epoch:0, training batch loss:110.4918
Training batch: 735 in epoch:0, training batch loss:234.4893
Training batch: 740 in epoch:0, training batch loss:257.5110
Training batch: 745 in epoch:0, training batch loss:189.3348
Training batch: 750 in epoch:0, training batch loss:226.4239
Training batch: 755 in epoch:0, training batch loss:198.1064
Training batch: 760 in epoch:0, training batch loss:185.4202
Training batch: 765 in epoch:0, training batch loss:112.3473
Training batch: 770 in epoch:0, training batch loss:231.3812
Training batch: 775 in epoch:0, training batch loss:172.2162
Training batch: 780 in epoch:0, training batch loss:222.1112
Training batch: 785 in epoch:0, training batch loss:217.5979
Training batch: 790 in epoch:0, training batch loss:173.2216
Training batch: 795 in epoch:0, training batch loss:269.6208
Training batch: 800 in epoch:0, training batch loss:146.5113
Training batch: 805 in epoch:0, training batch loss:191.9109
Training batch: 810 in epoch:0, training batch loss:232.2448
Training batch: 815 in epoch:0, training batch loss:193.4193
Training batch: 820 in epoch:0, training batch loss:243.6885
Training batch: 825 in epoch:0, training batch loss:139.8637
Training batch: 830 in epoch:0, training batch loss:169.8607
Training batch: 835 in epoch:0, training batch loss:219.1192
Training batch: 840 in epoch:0, training batch loss:307.9713
Training batch: 845 in epoch:0, training batch loss:143.9130
Training batch: 850 in epoch:0, training batch loss:296.3321
Training batch: 855 in epoch:0, training batch loss:283.3625
Training batch: 860 in epoch:0, training batch loss:138.1849
Training batch: 865 in epoch:0, training batch loss:123.3091
Training batch: 870 in epoch:0, training batch loss:212.8486
Training batch: 875 in epoch:0, training batch loss:252.4292
Training batch: 880 in epoch:0, training batch loss:110.6667
Training batch: 885 in epoch:0, training batch loss:226.9314
Training batch: 890 in epoch:0, training batch loss:217.4247
Training batch: 895 in epoch:0, training batch loss:230.6268
Training batch: 900 in epoch:0, training batch loss:220.7971
Training batch: 905 in epoch:0, training batch loss:185.9039
Training batch: 910 in epoch:0, training batch loss:176.7561
Training batch: 915 in epoch:0, training batch loss:216.7379
Training batch: 920 in epoch:0, training batch loss:146.5692
Training batch: 925 in epoch:0, training batch loss:183.4175
Training batch: 930 in epoch:0, training batch loss:139.6350
Training batch: 935 in epoch:0, training batch loss:209.7794
Training batch: 940 in epoch:0, training batch loss:177.3674
Training batch: 945 in epoch:0, training batch loss:151.2794
Training batch: 950 in epoch:0, training batch loss:200.9314
Training batch: 955 in epoch:0, training batch loss:152.8777
Training batch: 960 in epoch:0, training batch loss:151.0491
Training batch: 965 in epoch:0, training batch loss:177.8149
Training batch: 970 in epoch:0, training batch loss:155.9395
Training batch: 975 in epoch:0, training batch loss:173.8302
Training batch: 980 in epoch:0, training batch loss:176.7402
Training batch: 985 in epoch:0, training batch loss:178.7654
Training batch: 990 in epoch:0, training batch loss:172.4691
Training batch: 995 in epoch:0, training batch loss:143.0154
Training batch: 1000 in epoch:0, training batch loss:174.1678
Training batch: 1005 in epoch:0, training batch loss:180.4411
Training batch: 1010 in epoch:0, training batch loss:200.2812
Training batch: 1015 in epoch:0, training batch loss:157.3202
Training batch: 1020 in epoch:0, training batch loss:192.2464
Training batch: 1025 in epoch:0, training batch loss:255.7098
Training batch: 1030 in epoch:0, training batch loss:226.1461
Training batch: 1035 in epoch:0, training batch loss:129.1720
Training batch: 1040 in epoch:0, training batch loss:206.1175
Training batch: 1045 in epoch:0, training batch loss:285.7646
Training batch: 1050 in epoch:0, training batch loss:105.6816
Training batch: 1055 in epoch:0, training batch loss:173.4634
Training batch: 1060 in epoch:0, training batch loss:240.4707
Training batch: 1065 in epoch:0, training batch loss:168.2922
Training batch: 1070 in epoch:0, training batch loss:175.1755
Training batch: 1075 in epoch:0, training batch loss:189.3595
Training batch: 1080 in epoch:0, training batch loss:191.8230
Training batch: 1085 in epoch:0, training batch loss:196.6033
Training batch: 1090 in epoch:0, training batch loss:192.9494
Training batch: 1095 in epoch:0, training batch loss:153.3778
Training batch: 1100 in epoch:0, training batch loss:181.7342
Training batch: 1105 in epoch:0, training batch loss:240.2789
Training batch: 1110 in epoch:0, training batch loss:370.1626
Training batch: 1115 in epoch:0, training batch loss:108.7055
Training batch: 1120 in epoch:0, training batch loss:151.7904
Training batch: 1125 in epoch:0, training batch loss:331.7768
Training batch: 1130 in epoch:0, training batch loss:153.1832
Training batch: 1135 in epoch:0, training batch loss:212.6268
Training batch: 1140 in epoch:0, training batch loss:241.9844
Training batch: 1145 in epoch:0, training batch loss:193.0354
Training batch: 1150 in epoch:0, training batch loss:210.5098
Training batch: 1155 in epoch:0, training batch loss:165.2070
Training batch: 1160 in epoch:0, training batch loss:136.2063
Training batch: 1165 in epoch:0, training batch loss:253.3034
Training batch: 1170 in epoch:0, training batch loss:220.5893
Training batch: 1175 in epoch:0, training batch loss:180.6331
Training batch: 1180 in epoch:0, training batch loss:188.5948
Training batch: 1185 in epoch:0, training batch loss:197.0312
Training batch: 1190 in epoch:0, training batch loss:193.7503
Training batch: 1195 in epoch:0, training batch loss:222.1425
Training batch: 1200 in epoch:0, training batch loss:143.1788
Training batch: 1205 in epoch:0, training batch loss:179.7693
Training batch: 1210 in epoch:0, training batch loss:255.2726
Training batch: 1215 in epoch:0, training batch loss:246.2062
Training batch: 1220 in epoch:0, training batch loss:328.6811
Training batch: 1225 in epoch:0, training batch loss:135.5602
Training batch: 1230 in epoch:0, training batch loss:191.8114
Training batch: 1235 in epoch:0, training batch loss:121.1760
Training batch: 1240 in epoch:0, training batch loss:199.2432
Training batch: 1245 in epoch:0, training batch loss:172.7338
Training batch: 1250 in epoch:0, training batch loss:154.9202
Training batch: 1255 in epoch:0, training batch loss:186.8748
Training batch: 1260 in epoch:0, training batch loss:211.7512
Training batch: 1265 in epoch:0, training batch loss:230.6746
Training batch: 1270 in epoch:0, training batch loss:156.5098
2021-02-13 17:21:06 | epoch: 0001/1, training time: 1440.6s, inference time: 71.7s
train loss: 202.5625, val_loss: 174.7879
val loss decrease from inf to 174.7879, saving model to ./GMAN_Bessaker_w_wind.pkl
Training and validation are completed, and model has been stored as ./GMAN_Bessaker_w_wind.pkl
**** testing model ****
loading model from ./GMAN_Bessaker_w_wind.pkl
model restored!
evaluating...
testing time: 143.1s
                MAE		RMSE		MAPE
train            3.15		14.36		nan%
val              3.00		13.71		nan%
test             3.20		14.50		nan%
performance in each prediction step
step: 01         2.79		12.33		nan%
step: 02         2.88		12.85		nan%
step: 03         2.97		13.31		nan%
step: 04         3.06		13.73		nan%
step: 05         3.13		14.15		nan%
step: 06         3.20		14.50		nan%
step: 07         3.27		14.82		nan%
step: 08         3.32		15.10		nan%
step: 09         3.37		15.34		nan%
step: 10         3.42		15.56		nan%
step: 11         3.46		15.77		nan%
step: 12         3.50		15.97		nan%
average:         3.20		14.45		nan%
total time: 37.3min
Traceback (most recent call last):
  File "main.py", line 108, in <module>
    c.append(testPred[j, i, k])
IndexError: index 27 is out of bounds for dimension 2 with size 27
-------------------------------------------------------
Primary job  terminated normally, but 1 process returned
a non-zero exit code. Per user-direction, the job has been aborted.
-------------------------------------------------------
--------------------------------------------------------------------------
mpirun detected that one or more processes exited with non-zero status, thus causing
the job to be terminated. The first process to do so was:

  Process name: [[5837,1],0]
  Exit code:    1
--------------------------------------------------------------------------
